timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
0,1,42.60942337203584,50.97457774976921,0.5908403089578018,0.0,-8.955994686691172,-0.0,-0.0,0.0,3.5,1.897060120569283,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.6464906324797943,1.7835041247976462,1.1647,1.0,0.0
1,1,44.89475914512844,39.99264406525962,1.0300600597317293,0.0,3.8720550201370885,-0.0,-0.0,0.0,3.5,1.325736633922717,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.9060375602712547,0.9678189716586716,2.4134,1.0,0.0
2,1,-41.16075100394845,-47.48084920822978,1.262961725791526,0.0,5.057136478489803,-0.0,-0.0,0.0,3.5,2.004034479754571,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,2.7616404525398974,0.955393694777289,-2.6211,1.0,0.0
3,1,-48.37763459312855,-47.51890497459609,1.1227622651726878,0.0,-1.981491883705145,-0.0,-0.0,0.0,3.5,2.682875979391658,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,3.0367178806144466,1.746311482978379,-1.3724,1.0,0.0
4,1,0.5436959542673101,2.5488430500328585,0.816070543568853,0.0,-2.8212176393344013,-0.0,-0.0,0.0,3.5,2.64646393581976,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,2.360263285590117,2.2701222780877237,-0.1238,1.0,0.0
5,1,47.78139092146637,51.04251005952583,0.5902266430064759,0.0,-3.8513457810659393,-0.0,-0.0,0.0,3.5,1.9172852206836768,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.652488677999201,1.8028425173971547,1.1124,1.0,0.0
6,1,47.384060584919474,42.68740365671993,1.0265625592734984,0.0,3.6700943689260423,-0.0,-0.0,0.0,3.5,1.3074651684448206,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.8898599460269492,0.9579219400104365,2.3986,1.0,0.0
7,1,-40.58977759166959,-46.981977987603166,1.2661817073299646,0.0,5.126018688603614,-0.0,-0.0,0.0,3.5,1.9786362825534374,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,2.745027490212049,0.9326738964081298,-2.636,1.0,0.0
8,1,-85.00394351190384,-84.60228111130323,1.405770202451636,0.0,-1.80743260305225,-0.0,-0.0,0.0,2.8823087215423584,3.187240298429198,-0.846357922764162,0.4669199615918904,0.558126532260364,3.699464739321943,1.694517878657099,-1.5755,1.0,0.0
9,1,-28.025214997984275,-30.491815939118304,1.5004987407479848,0.0,0.9661022003860448,-0.0,-0.0,0.0,3.332904815673828,3.622837668988031,-0.5957238395753657,-0.1640401533661255,0.10069909550723463,3.2625968824285114,2.8294183365956,-1.3239,1.0,0.0
