timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
10,1,2.934307989764177,0.0,2.9343079897920004,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.29343286427041115,-0.8383737113718644,-1.0,1.0000000000092746,1.0,-0.0,1.0,0.0
11,1,-0.17939748173720546,0.0,-0.1793974817093819,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.04418271437771504,0.05125642334512792,0.15807404621382085,1.0000000000092746,1.0,-0.0,1.0,0.0
12,1,-3.4999999999953624,0.0,-3.499999999967539,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,1.0,1.0,1.0000000000092746,1.0,-0.0,1.0,0.0
13,1,3.500000000004637,0.0,3.5000000000324607,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,-1.0,0.8343982026394827,1.0000000000092746,1.0,-0.0,1.0,0.0
14,1,-0.44564354228417147,0.0,-0.4456435422563479,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.6240691731034784,0.1273267263647445,-0.05426506939818653,1.0000000000092746,1.0,-0.0,1.0,0.0
15,1,2.0205543831627915,0.0,2.020554383190615,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07634827978926417,-0.5773012523408838,-0.10610849421419313,1.0000000000092746,1.0,-0.0,1.0,0.0
16,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
17,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
18,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
19,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
