timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
0,1,-11.624628272293798,0.0,0.15634417876531057,0.0,-11.780972451059109,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
1,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
2,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
3,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
4,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
5,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
6,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
7,1,0.15634417873748702,0.0,0.15634417876531057,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.4546874108397736,-0.04466976535730027,0.6243374575509864,1.0000000000092746,1.0,-0.0,1.0,0.0
8,1,-1.9730317027080242,0.0,-1.9730317026802007,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.8675387313083209,0.5637233436309605,0.5268584348000941,1.0000000000092746,1.0,-0.0,1.0,0.0
9,1,0.5029989510650309,0.0,0.5029989510928544,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.5877707322183405,-0.14371398602107852,0.031043073614210187,1.0000000000092746,1.0,-0.0,1.0,0.0
10,1,2.6740082028396173,0.0,2.674008202867441,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,0.2701310840465647,-0.7640023436789171,-1.0,1.0000000000092746,1.0,-0.0,1.0,0.0
11,1,-0.43971374934580476,0.0,-0.4397137493179812,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,0.013471123133971141,0.12563249980501257,0.08877038835425702,1.0000000000092746,1.0,-0.0,1.0,0.0
12,1,-3.4999999999953624,0.0,-3.499999999967539,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-1.0,1.0,1.0,1.0000000000092746,1.0,-0.0,1.0,0.0
13,1,3.500000000004637,0.0,3.5000000000324607,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-1.0,-1.0,0.7680217847641928,1.0000000000092746,1.0,-0.0,1.0,0.0
14,1,-0.7658945824439335,0.0,-0.76589458241611,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.6516068766175775,0.21882702355350336,-0.09458976480653081,1.0000000000092746,1.0,-0.0,1.0,0.0
15,1,1.7756931901624393,0.0,1.7756931901902628,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,0.04805604107695338,-0.507340911483378,-0.14960500609077623,1.0000000000092746,1.0,-0.0,1.0,0.0
16,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
17,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
18,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
19,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
20,1,-1.347304835589666,0.0,-1.3473048355618424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,1.597319483757019,1.0,-0.8717050073024313,0.3849442387400397,0.1332029084131503,1.0000000000092746,1.0,-0.0,1.0,0.0
